pdf,pdf_path,keyword,keyword_is_regex,start,end,context,context_hash,has_action,action_hits
20190116.pdf,C:\Users\juand\Documents\GitHub\relevamiento-boletin-oficial-caba-con-llm\data\raw\20190116.pdf,Impacto ambiental,0,395736,395753,"areas competentes en materia de ejecucion del gasto y oportunamente, archivese. Galuzzi RESOLUCION N.deg 1388/SSTYTRA/18 Buenos Aires, 28 de diciembre de 2018 VISTO: el Decreto No 433/GCBA/2016 y el Expediente No EX 2018-33008629-MGEYA-DGIT, y CONSIDERANDO: Que a traves del Decreto No 433/GCBA/2016, se faculta a los funcionarios del Poder Ejecutivo de la Ciudad a aprobar gastos de imprescindible necesidad en cada jurisdiccion, cuando la contratacion que se pretende no pueda ser gestionada mediante los procedimientos vigentes en materia de compras y contrataciones o por el regimen de caja chica; Que resulta necesario tramitar la aprobacion del gasto en los terminos del Decreto No433/GCBA/2016, por el cual se establecen los niveles de decision y cuadro de competencias complementarias correspondientes a los actos de ejecucion presupuestaria para las Jurisdicciones y Entidades del Poder Ejecutivo de la Ciudad; Que la referida norma determina que debe tratarse de operaciones impostergables que aseguren servicios esenciales que deban llevarse a cabo con una celeridad tal que impida someterlas a los procedimientos previstos en los regimenes de compras y contrataciones vigentes; Que por el expediente citado en el visto tramita la aprobacion de gastos correspondiente a la contratacion de un servicio de consultoria para realizar el Estudio de Impacto Ambiental sobre el predio identificado como Playa de Combis Obelisco Norte y el Estudio de suelos para el predio Playa de Acarreo Boedo, a fines de presentarlos ante la Agencia de Proteccion Ambiental, por un total de PESOS TRESCIENTOS TREINTA Y UN MIL DOSCIENTOS CON 00/100 ($ 331.200,00.-); Que, conforme surge de la Comunicacion Oficial NO-2018-31893523-SSTYTRA, la Subsecretaria de Transito y Transporte realizo un analisis de los antecedentes de la gestion que se propicia y solicito a esta Direccion General se compulse el correspondiente procedimiento pertinente para proceder de manera urgente a la contratacion de una consultoria para la realizacion del Estudio de Impacto Ambiental y el Estudio de Suelos Fase 1 mencionados; No 5538 - 16/01/2019 Boletin Oficial de la Ciudad de Buenos Aires Pagina 136 Que, siguiendo este orden de ideas, se advierte que la gestion impulsada se ajusta al Convenio Marco en Materia de Transporte Ferroviario celebrado con fecha 17 de octubre de 2007 entre la entonces SECRETARIA DE TRANSPORTE DE LA NACION dependiente del ex MINISTERIO DE PLANIFICACION FEDERAL, INVERSION PUBLICA Y SERVICIOS y la CIUDAD, aprobado por la Ley N.o 2.818 (texto consolidado por Ley N.o 5.666) de la Legislatura de la Ciudad Autonoma de",ee8d810e8d9c38afb52a55acba4dd7f3,0,
20190116.pdf,C:\Users\juand\Documents\GitHub\relevamiento-boletin-oficial-caba-con-llm\data\raw\20190116.pdf,Impacto ambiental,0,396418,396435,"el cual se establecen los niveles de decision y cuadro de competencias complementarias correspondientes a los actos de ejecucion presupuestaria para las Jurisdicciones y Entidades del Poder Ejecutivo de la Ciudad; Que la referida norma determina que debe tratarse de operaciones impostergables que aseguren servicios esenciales que deban llevarse a cabo con una celeridad tal que impida someterlas a los procedimientos previstos en los regimenes de compras y contrataciones vigentes; Que por el expediente citado en el visto tramita la aprobacion de gastos correspondiente a la contratacion de un servicio de consultoria para realizar el Estudio de Impacto Ambiental sobre el predio identificado como Playa de Combis Obelisco Norte y el Estudio de suelos para el predio Playa de Acarreo Boedo, a fines de presentarlos ante la Agencia de Proteccion Ambiental, por un total de PESOS TRESCIENTOS TREINTA Y UN MIL DOSCIENTOS CON 00/100 ($ 331.200,00.-); Que, conforme surge de la Comunicacion Oficial NO-2018-31893523-SSTYTRA, la Subsecretaria de Transito y Transporte realizo un analisis de los antecedentes de la gestion que se propicia y solicito a esta Direccion General se compulse el correspondiente procedimiento pertinente para proceder de manera urgente a la contratacion de una consultoria para la realizacion del Estudio de Impacto Ambiental y el Estudio de Suelos Fase 1 mencionados; No 5538 - 16/01/2019 Boletin Oficial de la Ciudad de Buenos Aires Pagina 136 Que, siguiendo este orden de ideas, se advierte que la gestion impulsada se ajusta al Convenio Marco en Materia de Transporte Ferroviario celebrado con fecha 17 de octubre de 2007 entre la entonces SECRETARIA DE TRANSPORTE DE LA NACION dependiente del ex MINISTERIO DE PLANIFICACION FEDERAL, INVERSION PUBLICA Y SERVICIOS y la CIUDAD, aprobado por la Ley N.o 2.818 (texto consolidado por Ley N.o 5.666) de la Legislatura de la Ciudad Autonoma de Buenos Aires, registrado en la Escribania General de Gobierno de la Ciudad Autonoma de Buenos Aires como Convenio No 42/07; Que, atendiendo a los fundamentos antes citados, el objeto del gasto y considerando que los parametros resultan favorables para la administracion, la satisfaccion del mismo debe llevarse a cabo con una celeridad y eficacia tal que impiden realizarlo con otro procedimiento previsto en la normativa vigente, Ley 2095 (Texto Consolidado por Ley No 6.017); Que, consecuentemente, resulta necesario tramitar la aprobacion del gasto en los terminos del Decreto Ndeg 433/GCBA/2016, por el cual se establecen los niveles de decision y cuadro de competencias complementarias",168abd7c8191515c56d0e7fafeb19a92,0,
20190116.pdf,C:\Users\juand\Documents\GitHub\relevamiento-boletin-oficial-caba-con-llm\data\raw\20190116.pdf,Impacto ambiental,0,399746,399763,"Que, previa intervencion de la Subsecretaria de Transito y Transporte y de la Secretaria de Transporte, con fecha 5 de diciembre del corriente se invito a cotizar las tareas requeridas a las empresas BALTO ESTUDIO S.A., INGENIERIA EN RELEVAMIENTOS VIALES S.A. y TRECC S.A.; Que, habiendo recibido los presupuestos de las firmas mencionadas, la Direccion General de Infraestructura de Transporte procedio a la evaluacion de los mismos y concluyo que la empresa TRECC S.A. resulta ser la mas conveniente, en tanto su cotizacion resulto la mas adecuada para el servicio consignado, lo cual permite reducir el costo adicional para el presupuesto de la Ciudad; Que, ante la Solicitud de Inicio, oportunamente notificada, dicha empresa comenzo la ejecucion de las tareas correspondientes; Que la erogacion cuenta con el correspondiente respaldo presupuestario y la firma contratante se encuentra inscripta en el Registro Informatizado Unico y Permanente de Proveedores, habiendose dado cumplimiento con los recaudos estipulados en la normativa vigente; Que obra el remito presentado por la empresa TRECC S.A., recibido por la Direccion General mencionada previamente con fecha 19 de diciembre de 2018 dependiente de esta Subsecretaria, con fecha 19 de diciembre de 2018, dejando constancia de la entrega y recepcion del Estudio Impacto Ambiental sobre el predio Playa de Combis Obelisco Norte y del Estudio de Suelos Fase 1 para el predio Playa de Acarreo Boedo; Que, por todo lo expuesto, resulta procedente la aprobacion del gasto para la contratacion de un servicio de consultoria para los estudios mencionados ut supra. Por ello, en uso de las facultades conferidas por los Decretos No 433/GCBA/2016, No 5538 - 16/01/2019 Boletin Oficial de la Ciudad de Buenos Aires Pagina 137 EL SUBSECRETARIO DE TRANSITO Y TRANSPORTE RESUELVE Articulo 1o.- Apruebese el gasto a favor de la empresa TRECC S.A., CUIT No 30- 69373723-7, para la contratacion de un servicio de consultoria para realizar el Estudio de Impacto Ambiental sobre el predio identificado como Playa de Combis Obelisco Norte y el Estudio de suelos Fase 1 para el predio Playa de Acarreo Boedo, por un importe total de PESOS TRESCIENTOS TREINTA Y UN MIL DOSCIENTOS CON 00/100 ($ 331.200,00.-). Articulo 2o.- Dicho gasto se imputara a las partidas presupuestarias correspondientes. Articulo 3o.- Publiquese en el Boletin Oficial. Notifiquese a la empresa ejecutora de la s tareas para las que se aprueba el gasto. Cumplido, archivese. Galuzzi RESOLUCION N.deg 1389/SSTYTRA/18 Buenos Aires, 28 de diciembre de 2018",1e5c6df3fb406f1f07b6a97bbe9480cd,0,
20190116.pdf,C:\Users\juand\Documents\GitHub\relevamiento-boletin-oficial-caba-con-llm\data\raw\20190116.pdf,Impacto ambiental,0,400421,400438,"dicha empresa comenzo la ejecucion de las tareas correspondientes; Que la erogacion cuenta con el correspondiente respaldo presupuestario y la firma contratante se encuentra inscripta en el Registro Informatizado Unico y Permanente de Proveedores, habiendose dado cumplimiento con los recaudos estipulados en la normativa vigente; Que obra el remito presentado por la empresa TRECC S.A., recibido por la Direccion General mencionada previamente con fecha 19 de diciembre de 2018 dependiente de esta Subsecretaria, con fecha 19 de diciembre de 2018, dejando constancia de la entrega y recepcion del Estudio Impacto Ambiental sobre el predio Playa de Combis Obelisco Norte y del Estudio de Suelos Fase 1 para el predio Playa de Acarreo Boedo; Que, por todo lo expuesto, resulta procedente la aprobacion del gasto para la contratacion de un servicio de consultoria para los estudios mencionados ut supra. Por ello, en uso de las facultades conferidas por los Decretos No 433/GCBA/2016, No 5538 - 16/01/2019 Boletin Oficial de la Ciudad de Buenos Aires Pagina 137 EL SUBSECRETARIO DE TRANSITO Y TRANSPORTE RESUELVE Articulo 1o.- Apruebese el gasto a favor de la empresa TRECC S.A., CUIT No 30- 69373723-7, para la contratacion de un servicio de consultoria para realizar el Estudio de Impacto Ambiental sobre el predio identificado como Playa de Combis Obelisco Norte y el Estudio de suelos Fase 1 para el predio Playa de Acarreo Boedo, por un importe total de PESOS TRESCIENTOS TREINTA Y UN MIL DOSCIENTOS CON 00/100 ($ 331.200,00.-). Articulo 2o.- Dicho gasto se imputara a las partidas presupuestarias correspondientes. Articulo 3o.- Publiquese en el Boletin Oficial. Notifiquese a la empresa ejecutora de la s tareas para las que se aprueba el gasto. Cumplido, archivese. Galuzzi RESOLUCION N.deg 1389/SSTYTRA/18 Buenos Aires, 28 de diciembre de 2018 VISTO La Ley Nacional Ndeg 13.064, la Ley Ndeg 5.460 (Texto Consolidado por la Ley No 6.017), los Decretos Nros. 1.510/GCBA/1997 (Texto Consolidado por Ley Ndeg 6.017), 363/GCBA/2015, 675/GCBA/2016 y modificatorios, las Resoluciones Nros. 234/SSTYTRA/2017 y 339/SSTYTRA/2017 y los Expedientes Electronicos Nros. 2017- 06901846-MGEYA-DGIT, 2018-28510799-MGEYA-DGIT y 2018-33151048-MEGYA- DGIT y CONSIDERANDO: Que mediante la Resolucion Ndeg 234/SSTYTRA/2017 se aprobaron los Pliegos de Bases y Condiciones Particulares y de Especificaciones Tecnicas para la realizacion de la Obra mencionada, estableciendo un plazo de obra de noventa dias (90) dias corridos para la finalizacion de las obras; Que por Resolucion No 339/SSTYTRA/2017 fue adjudicada la obra de marras, a la firma ""MIAVASA S.A."" por un monto",d93bfe3db665315d57631f8d02e22ce1,0,
20190116.pdf,C:\Users\juand\Documents\GitHub\relevamiento-boletin-oficial-caba-con-llm\data\raw\20190116.pdf,Catastro,0,730269,730277,"actuaciones administrativas; Que en el Anexo III de la referida Resolucion se establecio el ""procedimiento para la digitalizacion de Documentos en soporte papel, el cual se encuentra con tramite finalizado en esta Direccion General; Que por la Resolucion No 191-SECLYT/14, se aprobo el ""Procedimiento de depuracion de Expedientes""; estableciendo en el articulo segundo del Anexo ""...los expedientes cualquiera sea el estado de tramitacion podran ser digitalizados conforme el procedimiento vigente en la materia, y su tramitacion continuara por expediente electronico, habilitandose el procedimiento de depuracion del expediente soporte papel..""; Que mediante Disposicion No 112-DGROC/17, dictada en el marco del Expediente Electronico No 6273422-DGROC-2017, esta Direccion General puso en marcha el plan de implementacion del archivo electronico, procediendo a la digitalizacion de las actuaciones, a los efectos de hab ilitar el procedimiento de depuracion aprobado por la mencionada Resolucion; Que la caratulacion electronica, de las actuaciones digitalizadas, se efectuara a solicitud del ciudadano, y/o parte interesada; o en cuyos casos sea indispensable para la continuidad; Que la presente medida se dicta en uso de las facultades que le fueran conferidas por la Ley No 5460 y los Decretos No 363-GCBA/15, 366-AJG/18 y No 8-AJG/18. LA DIRECTORA GENERAL DE REGISTRO DE OBRAS Y CATASTRO DISPONE. Articulo 1deg.- Procedase a la depuracion de los expedientes en formato papel, que se encuentran individualizados en el Anexo I (Informe Grafico No 33610992-DGROC- 2018) , el cual forma parte integrante de la presente. Articulo 2deg.- Registrese. Publiquese en el Boletin Oficial de la Ciudad de Buenos Aires, No 5538 - 16/01/2019 Boletin Oficial de la Ciudad de Buenos Aires Pagina 255 conjuntamente INFORME-33610992-DGROC-2018. Pongase en conocimiento de la presente a la Secretaria Legal y Tecnica. Hertel ANEXO DISPOSICION N.deg 2191/DGIUR/18 Buenos Aires, 20 de diciembre de 2018 VISTO: El Expediente No 32.258.168/2018 por el que se consulta respecto a la factibilidad urbanistica para la Obra Nueva, para el predio sito en la calle Jose Luis Cantilo No 4384, de acuerdo a RE-2018-32258161-SSREGIC y PLANO-2018-32258163- SSREGIC, y CONSIDERANDO: Que el predio se encuentra emplazado en el Distrito APH36 - Plaza Arenales y Estacion Devoto, Zona de Amortiguacion (Paragrafo 5.4.12.36) de Zonificacion del Codigo de Planeamiento Urbano; Que respecto al predio motivo de consulta, cabe senalar que se encuentra con Nivel de Proteccion edilicia General de acuerdo a Ley firme No 5215, Boletin Oficial No 4620 de fecha 20/04/2015; segun se desprende de la Base APH obtenida por Sistema",306252af93baf43b5e1b00bae2c68000,0,
20190116.pdf,C:\Users\juand\Documents\GitHub\relevamiento-boletin-oficial-caba-con-llm\data\raw\20190116.pdf,Catastro,0,736615,736623,"la liberacion de un espacio edificable lateral de 10.00m de ancho, que se mancomuna con el espacio urbano existente en la parcela lindera 002, atendiendo a los hechos existentes y guardando adecuada integracion con el inmueble catalogado. Asimismo, se propone generar un segundo patio sobre el lateral derecho, que preve la consolidacion de la parcela 004, lindera. De este modo, en aplicacion del Articulo 4.9.2 ""Disposiciones particulares"", se propone ocupar un espacio del centro libre de manzana, que resultaria inferior a la superficie a descontar dentro de la franja edificable de la parcela; Que en cuanto al tratamiento arquitectonico de la fachada, se propone un diseno contemporaneo y contextual con lo existente, en adecuada integracion con el lindero protegido, sin imitaciones de estilo o empleo de recursos que compitan con el capital patrimonial a preservar, segun se ilustra en imagen interpuesta por los solicitantes s/ RE-2018-32258161-SSREGIC; Que respecto al Factor de Ocupacion Total (F.O.T.), de acuerdo a lo declarado en documentacion adjunta, el proyecto cumpliria con los parametros establecidos para el Distrito de implantacion, lo cual debera ser constatado por el Organismo correspondiente al momento de la presentacion de la documentacion de Obra ante la Direccion General Registro de Obras y Catastro; Que en cuanto a los usos propuestos ""Vivienda multifamiliar y Cocheras""; resultan admitidos en el distrito de implantacion, debiendo dar cumplimiento con los requerimientos establecidos en el Cuadro de Usos No 5.2.1 a) del Codigo de Planeamiento Urbano; Que en tal sentido, el Area Tecnica competente considera que la propuesta presentada de acuerdo a RE-2018-32258161-SSREGIC y PLANO-2018-32258163- SSREGIC, en cumplimiento de los parametros de altura y superficie del Distrito de implantacion, encuadraria dentro de los criterios morfologicos-arquitectonicos que promueve la ley No2930, y del Articulo 4.9.2 ""Disposiciones particulares""; a la vez que se propone una adecuada integracion con el inmueble protegido; No 5538 - 16/01/2019 Boletin Oficial de la Ciudad de Buenos Aires Pagina 257 Que lo informado no exime del cumplimiento de las restantes disposiciones contenidas en el Codigo de Planeamiento Urbano y de la Edificacion, asi como las relacionadas con los usos a localizar, en la oportunidad de la presentacion de la documentacion de obra ante la Direccion General Registro de Obras y Catastro. Por ello, y en uso de las facultades conferidas, LA DIRECTORA GENERAL DE INTERPRETACION URBANISTICA DISPONE Articulo 1o.- Considerase factible desde el punto de vista urbanistico, en un todo de acuerdo a lo",0bea908e6bbcc673c19e287b1ea7d901,0,
20190116.pdf,C:\Users\juand\Documents\GitHub\relevamiento-boletin-oficial-caba-con-llm\data\raw\20190116.pdf,Catastro,0,737723,737731,"los parametros establecidos para el Distrito de implantacion, lo cual debera ser constatado por el Organismo correspondiente al momento de la presentacion de la documentacion de Obra ante la Direccion General Registro de Obras y Catastro; Que en cuanto a los usos propuestos ""Vivienda multifamiliar y Cocheras""; resultan admitidos en el distrito de implantacion, debiendo dar cumplimiento con los requerimientos establecidos en el Cuadro de Usos No 5.2.1 a) del Codigo de Planeamiento Urbano; Que en tal sentido, el Area Tecnica competente considera que la propuesta presentada de acuerdo a RE-2018-32258161-SSREGIC y PLANO-2018-32258163- SSREGIC, en cumplimiento de los parametros de altura y superficie del Distrito de implantacion, encuadraria dentro de los criterios morfologicos-arquitectonicos que promueve la ley No2930, y del Articulo 4.9.2 ""Disposiciones particulares""; a la vez que se propone una adecuada integracion con el inmueble protegido; No 5538 - 16/01/2019 Boletin Oficial de la Ciudad de Buenos Aires Pagina 257 Que lo informado no exime del cumplimiento de las restantes disposiciones contenidas en el Codigo de Planeamiento Urbano y de la Edificacion, asi como las relacionadas con los usos a localizar, en la oportunidad de la presentacion de la documentacion de obra ante la Direccion General Registro de Obras y Catastro. Por ello, y en uso de las facultades conferidas, LA DIRECTORA GENERAL DE INTERPRETACION URBANISTICA DISPONE Articulo 1o.- Considerase factible desde el punto de vista urbanistico, en un todo de acuerdo a lo indicado en los considerandos que anteceden, el Proyecto de Obra Nueva, para el predio sito en la calle Jose Luis Cantilo No 4384, de acuerdo a RE- 2018-32258161-SSREGIC y PLANO-2018-32258163-SSREGIC, debiendo cumplir con toda la normativa vigente que resulte de aplicacion. Articulo 2o.- La presente tiene un plazo de vigencia de 180 dias a partir de la fecha de su emision. Dentro de este plazo el recurrente debera presentar la documentacion pertinente ante el o los organismos correspondientes, de no hacerlo caducaran de pleno derecho lo autorizado precedentemente. Articulo 3o.- Registrese, notifiquese; entreguese la presente y lo graficado en RE- 2018-32258161-SSREGIC y PLANO-2018-32258163-SSREGIC al interesado; publiquese en el Boletin Oficial del Gobierno de la Ciudad de Buenos Aires. Cumplido, archivese. Copola DISPOSICION N.deg 2192/DGIUR/18 Buenos Aires, 20 de diciembre de 2018 VISTO: El Expediente No 19.486.188/2018 por el que se consulta sobre la factibilidad ampliacion del uso: ""Salon de Baile clase ""C"""", para el inmueble sito en la Av. Costanera Rafael Obligado No 1221 y Jeronimo",fa873a07ad92e08c0c326ed841c9fe30,0,
20190314.pdf,C:\Users\juand\Documents\GitHub\relevamiento-boletin-oficial-caba-con-llm\data\raw\20190314.pdf,Ley Tarifaria,0,583602,583615,"757 en todas aquellas cuestiones no previstas por la norma citada; Que el articulo 9 de la Ley 757 -texto consolidado- establece que ""Recibida una denuncia de parte interesada, si resulta procedente de acuerdo con las circunstancias del caso y en un plazo de diez (10) dias habiles la autoridad de aplicacion, sin perjuicio de sus propias competencias, debe promover la instancia conciliatoria. (...) c. En caso de incomparecencia injustificada del denunciante o su representante se le tiene por desistido de la denuncia, siempre que no justifique dicha incomparecencia con la documentacion que la respalde, dentro de los tres (3) dias habiles de fijada la audiencia. En caso de haber aceptado la autoridad de aplicacion la justificacion de la incomparecencia del denunciante, esta procedera a fijar una nueva audiencia dentro del plazo de cinco (5) dias habiles. d. En caso de incomparecencia injustificada del denunciado, siempre que no justifique dicha incomparecencia con la documentacion que la respalde, dentro de los tres (3) dias habiles de fijada la audiencia se tiene por fracasada la instancia conciliatoria, y se lo sanciona con multa cuyo monto sera de trescientas (300) unidades fijas a veinte mil (20.000) unidades fijas o conforme lo determine anualmente la Ley Tarifaria. En caso de haber aceptado la autoridad de aplicacion la justificacion de la incomparecencia del denunciado, esta procedera a fijar una nueva audiencia dentro del plazo de cinco (5) dias habiles""; Que notese que la unica obligacion impuesta a las partes es la de concurrir al acto conciliatorio, mas no alcanzar un acuerdo. De modo tal que la infraccion se configura por el simple hecho de no asistir a la audiencia; Que en este orden de ideas, surge con claridad que para tener por configurada la infraccion, deben darse dos supuestos: la no concurrencia del denunciado a la audiencia y que el mismo no haya justificado su incomparecencia en el plazo estipulado legalmente para ello; Que de la cedula Ndeg31060-RPA-2016, se constata que la denunciada se encontraba correctamente notificada de la audiencia de fecha 2 de diciembre de 2016. Sin embargo, del contenido del acta de la misma, se evidencia su incomparecencia; Que por lo expuesto, y habiendose verificado la falta de presentacion de justificativo, se encuentra acreditada la infraccion al inciso d) del articulo 9 de la Ley 757 -texto consolidado-; Que en relacion con la sancion a imponer, el precitado inciso prescribe que el monto de la",408d4d2c0605f2b461149d975383f972,0,
20190314.pdf,C:\Users\juand\Documents\GitHub\relevamiento-boletin-oficial-caba-con-llm\data\raw\20190314.pdf,Ley Tarifaria,0,584944,584957,"procedera a fijar una nueva audiencia dentro del plazo de cinco (5) dias habiles""; Que notese que la unica obligacion impuesta a las partes es la de concurrir al acto conciliatorio, mas no alcanzar un acuerdo. De modo tal que la infraccion se configura por el simple hecho de no asistir a la audiencia; Que en este orden de ideas, surge con claridad que para tener por configurada la infraccion, deben darse dos supuestos: la no concurrencia del denunciado a la audiencia y que el mismo no haya justificado su incomparecencia en el plazo estipulado legalmente para ello; Que de la cedula Ndeg31060-RPA-2016, se constata que la denunciada se encontraba correctamente notificada de la audiencia de fecha 2 de diciembre de 2016. Sin embargo, del contenido del acta de la misma, se evidencia su incomparecencia; Que por lo expuesto, y habiendose verificado la falta de presentacion de justificativo, se encuentra acreditada la infraccion al inciso d) del articulo 9 de la Ley 757 -texto consolidado-; Que en relacion con la sancion a imponer, el precitado inciso prescribe que el monto de la multa ""...sera de trescientas (300) unidades fijas a veinte mil (20.000) unidades fijas o conforme lo determine anualmente la Ley Tarifaria""; No 5577 - 14/03/2019 Boletin Oficial de la Ciudad de Buenos Aires Pagina 202 Que a los efectos de graduar la sancion se toma en cuenta la imposibilidad de llevar a cabo la instancia conciliatoria, promovida a los fines de propiciar el dialogo y la busqueda de formulas de acuerdo entre las partes; Que, la inasistencia de la requerida a la audiencia de conciliacion impide tratar en forma rapida y eficaz la problematica que motivo el reclamo de la denunciante, vedando que las partes puedan exponer sus posturas e intereses en un ambito propicio para la negociacion y solucion del conflicto existente; Que sobre la base de lo expuesto, se sugiere aplicar sancion de multa por el equivalente a 1700 unidades fijas, ascendiendo la misma a la suma de pesos catorce mil quinientos dieciocho ($ 14.518.-); Que por otra parte, del analisis de los hechos, surge que se imputo a la denunciada la presunta infraccion al articulo 9 inciso d) de la Ley 941, cuyo texto reza: ""Articulo 9.- Obligaciones del Administrador. En el ejercicio de sus funciones deben: (...). d.) Llevar en debida forma, los libros del Consorcio conforme las normas vigentes (...)""; Que la citada imputacion se",de2fdd60efd1e9f5ae482aaafce8ffbc,0,
20190314.pdf,C:\Users\juand\Documents\GitHub\relevamiento-boletin-oficial-caba-con-llm\data\raw\20190314.pdf,Ley Tarifaria,0,1112783,1112796,"DOSCIENTOS SESENTA Y DOS CON 82/100), valor nominal. Por tal motivo se intima a que el segundo lunes habil posterior a la fecha de finalizacion de la publicacion del presente Edicto, se presente persona responsable y/o debidamente autorizada o apoderado con poder amplio para el reconocimiento de deudas del Gobierno de la Ciudad de Buenos Aires ante la agente Romina Nerea Castiglione, F.C. 474.489 en Direccion Fiscalizacion Ndeg 4, Departamento J, Division Ndeg1, sita en Viamonte 900, 1er. Piso CABA, de 09:30 a 12:30 hs., a los efectos de notificarse de las Diferencias de Verificacion de caracter parcial, determinadas por los periodos 01/2015 a 12/2015. Los motivos que las originan son: 1) Diferencia en la base imponible entre los ingresos declarados por el contribuyente y los que surgen de la circularizacion a AFIP 2) Diferencia de Coeficiente Unificado: entre lo declarado por el contribuyente en la actividad 519000 ""Venta al por mayor de mercancias n.c.p."" segun articulo 14 de Convenio Multilateral y lo que corresponde por la aplicacion de articulos 2 y 5 de Convenio Multilateral 3) Diferencia de Alicuota entre la declarada por el contribuyente del 3,5% y la que corresponde del 3% segun articulo 52 inciso 9 de la ley tarifaria 2015 para los periodos 01/2015 a 12/2015. Se deja constancia que las mismas son de caracter parcial. En caso de prestar conformidad a los ajustes efectuados, debera abonar el impuesto resultante con mas los recargos correspondientes que establece el articulo 76 del Codigo Fiscal Vigente (T.O. 2018), dentro de los 15 (quince) dias habiles posteriores al plazo anteriormente mencionado. En caso de incomparecencia en la fecha, hora y lugar indicado, las diferencias se consideraran como no conformadas dando lugar al i nicio del procedimiento de Determinacion de Oficio y la instruccion de sumario conexo. ANEXO Ana L. Santora Directora Fiscalizacion Ndeg 4 Inicia: 14-3-2019 Vence: 18-3-2019 No 5577 - 14/03/2019 Boletin Oficial de la Ciudad de Buenos Aires Pagina 413 Ministerio de Justicia y Seguridad MINISTERIO DE JUSTICIA Y SEGURIDAD SUBSECRETARIA DE SEGURIDAD CIUDADANA Intimacion - Resolucion Ndeg 56-SSSC/19 Intimese a los titulares de vehiculos, que se detallan en el Anexo I IF-2019- 07764790-GCABA-SSSC y en el Anexo II IF-2019-07759971-GCABA-SSSC de la presente publicacion, relacionado a la Resolucion Ndeg/19; para que, en el termino de 15 dias computados a partir del vencimiento de la publicacion del presente Edicto, retire la unidad o sus partes de la playa bajo apercibimiento",d0708aaf6650af4bcfdbc48f42813022,0,
